Id,,
1,1,11/2/2012
1,1,11/9/2012
1,1,11/16/2012
1,1,11/23/2012
1,1,11/30/2012
1,1,12/7/2012
1,1,12/14/2012
1,1,12/21/2012
1,1,12/28/2012
1,1,1/4/2013
1,1,1/11/2013
1,1,1/18/2013
1,1,1/25/2013
1,1,2/1/2013
1,1,2/8/2013
1,1,2/15/2013
1,1,2/22/2013
1,1,3/1/2013
1,1,3/8/2013
1,1,3/15/2013
1,1,3/22/2013
1,1,3/29/2013
1,1,4/5/2013
1,1,4/12/2013
1,1,4/19/2013
1,1,4/26/2013
1,1,5/3/2013
1,1,5/10/2013
1,1,5/17/2013
1,1,5/24/2013
1,1,5/31/2013
1,1,6/7/2013
1,1,6/14/2013
1,1,6/21/2013
1,1,6/28/2013
1,1,7/5/2013
1,1,7/12/2013
1,1,7/19/2013
1,1,7/26/2013
1,2,11/2/2012
1,2,11/9/2012
1,2,11/16/2012
1,2,11/23/2012
1,2,11/30/2012
1,2,12/7/2012
1,2,12/14/2012
1,2,12/21/2012
1,2,12/28/2012
1,2,1/4/2013
1,2,1/11/2013
1,2,1/18/2013
1,2,1/25/2013
1,2,2/1/2013
1,2,2/8/2013
1,2,2/15/2013
1,2,2/22/2013
1,2,3/1/2013
1,2,3/8/2013
1,2,3/15/2013
1,2,3/22/2013
1,2,3/29/2013
1,2,4/5/2013
1,2,4/12/2013
1,2,4/19/2013
1,2,4/26/2013
1,2,5/3/2013
1,2,5/10/2013
1,2,5/17/2013
1,2,5/24/2013
1,2,5/31/2013
1,2,6/7/2013
1,2,6/14/2013
1,2,6/21/2013
1,2,6/28/2013
1,2,7/5/2013
1,2,7/12/2013
1,2,7/19/2013
1,2,7/26/2013
1,3,11/2/2012
1,3,11/9/2012
1,3,11/16/2012
1,3,11/23/2012
1,3,11/30/2012
1,3,12/7/2012
1,3,12/14/2012
1,3,12/21/2012
1,3,12/28/2012
1,3,1/4/2013
1,3,1/11/2013
1,3,1/18/2013
1,3,1/25/2013
1,3,2/1/2013
1,3,2/8/2013
1,3,2/15/2013
1,3,2/22/2013
1,3,3/1/2013
1,3,3/8/2013
1,3,3/15/2013
1,3,3/22/2013
1,3,3/29/2013
1,3,4/5/2013
1,3,4/12/2013
1,3,4/19/2013
1,3,4/26/2013
1,3,5/3/2013
1,3,5/10/2013
1,3,5/17/2013
1,3,5/24/2013
1,3,5/31/2013
1,3,6/7/2013
1,3,6/14/2013
1,3,6/21/2013
1,3,6/28/2013
1,3,7/5/2013
1,3,7/12/2013
1,3,7/19/2013
1,3,7/26/2013
1,4,11/2/2012
1,4,11/9/2012
1,4,11/16/2012
1,4,11/23/2012
1,4,11/30/2012
1,4,12/7/2012
1,4,12/14/2012
1,4,12/21/2012
1,4,12/28/2012
1,4,1/4/2013
1,4,1/11/2013
1,4,1/18/2013
1,4,1/25/2013
1,4,2/1/2013
1,4,2/8/2013
1,4,2/15/2013
1,4,2/22/2013
1,4,3/1/2013
1,4,3/8/2013
1,4,3/15/2013
1,4,3/22/2013
1,4,3/29/2013
1,4,4/5/2013
1,4,4/12/2013
1,4,4/19/2013
1,4,4/26/2013
1,4,5/3/2013
1,4,5/10/2013
1,4,5/17/2013
1,4,5/24/2013
1,4,5/31/2013
1,4,6/7/2013
1,4,6/14/2013
1,4,6/21/2013
1,4,6/28/2013
1,4,7/5/2013
1,4,7/12/2013
1,4,7/19/2013
1,4,7/26/2013
1,5,11/2/2012
1,5,11/9/2012
1,5,11/16/2012
1,5,11/23/2012
1,5,11/30/2012
1,5,12/7/2012
1,5,12/14/2012
1,5,12/21/2012
1,5,12/28/2012
1,5,1/4/2013
1,5,1/11/2013
1,5,1/18/2013
1,5,1/25/2013
1,5,2/1/2013
1,5,2/8/2013
1,5,2/15/2013
1,5,2/22/2013
1,5,3/1/2013
1,5,3/8/2013
1,5,3/15/2013
1,5,3/22/2013
1,5,3/29/2013
1,5,4/5/2013
1,5,4/12/2013
1,5,4/19/2013
1,5,4/26/2013
1,5,5/3/2013
1,5,5/10/2013
1,5,5/17/2013
1,5,5/24/2013
1,5,5/31/2013
1,5,6/7/2013
1,5,6/14/2013
1,5,6/21/2013
1,5,6/28/2013
1,5,7/5/2013
1,5,7/12/2013
1,5,7/19/2013
1,5,7/26/2013
1,6,11/2/2012
1,6,11/9/2012
1,6,11/16/2012
1,6,11/23/2012
1,6,11/30/2012
1,6,12/7/2012
1,6,12/14/2012
1,6,12/21/2012
1,6,12/28/2012
1,6,1/4/2013
1,6,1/11/2013
1,6,1/18/2013
1,6,1/25/2013
1,6,2/1/2013
1,6,2/8/2013
1,6,2/15/2013
1,6,2/22/2013
1,6,3/1/2013
1,6,3/8/2013
1,6,3/15/2013
1,6,3/22/2013
1,6,3/29/2013
1,6,4/5/2013
1,6,4/12/2013
1,6,4/19/2013
1,6,4/26/2013
1,6,5/3/2013
1,6,5/10/2013
1,6,5/17/2013
1,6,5/24/2013
1,6,5/31/2013
1,6,6/7/2013
1,6,6/14/2013
1,6,6/21/2013
1,6,6/28/2013
1,6,7/5/2013
1,6,7/12/2013
1,6,7/19/2013
1,6,7/26/2013
1,7,11/2/2012
1,7,11/9/2012
1,7,11/16/2012
1,7,11/23/2012
1,7,11/30/2012
1,7,12/7/2012
1,7,12/14/2012
1,7,12/21/2012
1,7,12/28/2012
1,7,1/4/2013
1,7,1/11/2013
1,7,1/18/2013
1,7,1/25/2013
1,7,2/1/2013
1,7,2/8/2013
1,7,2/15/2013
